local_switch,local_interface,remote_switch,remote_interface,notes_and_comments
avd-test-Spine1,Ethernet1,avd-test-Leaf1A,Ethernet1,
avd-test-Spine1,Ethernet2,avd-test-Leaf1B,Ethernet1,
avd-test-Spine1,Ethernet3,avd-test-Leaf2A,Ethernet1,
avd-test-Spine1,Ethernet4,avd-test-Leaf2B,Ethernet1,
avd-test-Spine2,Ethernet1,avd-test-Leaf1A,Ethernet2,
avd-test-Spine2,Ethernet2,avd-test-Leaf1B,Ethernet2,
avd-test-Spine2,Ethernet3,avd-test-Leaf2A,Ethernet2,
avd-test-Spine2,Ethernet4,avd-test-Leaf2B,Ethernet2,
avd-test-Spine3,Ethernet1,avd-test-Leaf1A,Ethernet3,
avd-test-Spine3,Ethernet2,avd-test-Leaf1B,Ethernet3,
avd-test-Spine3,Ethernet3,avd-test-Leaf2A,Ethernet3,
avd-test-Spine3,Ethernet4,avd-test-Leaf2B,Ethernet3,
avd-test-Spine4,Ethernet1,avd-test-Leaf1A,Ethernet4,
avd-test-Spine4,Ethernet2,avd-test-Leaf1B,Ethernet4,
avd-test-Spine4,Ethernet3,avd-test-Leaf2A,Ethernet4,
avd-test-Spine4,Ethernet4,avd-test-Leaf2B,Ethernet4,
avd-test-Leaf1A,Ethernet1,avd-test-Spine1,Ethernet1,
avd-test-Leaf1A,Ethernet2,avd-test-Spine2,Ethernet1,
avd-test-Leaf1A,Ethernet3,avd-test-Spine3,Ethernet1,
avd-test-Leaf1A,Ethernet4,avd-test-Spine4,Ethernet1,
avd-test-Leaf1A,Ethernet5,avd-test-Leaf1B,Ethernet5,MLAG_Peer_Link
avd-test-Leaf1A,Ethernet6,avd-test-Leaf1B,Ethernet6,MLAG_Peer_Link
avd-test-Leaf1B,Ethernet1,avd-test-Spine1,Ethernet2,
avd-test-Leaf1B,Ethernet2,avd-test-Spine2,Ethernet2,
avd-test-Leaf1B,Ethernet3,avd-test-Spine3,Ethernet2,
avd-test-Leaf1B,Ethernet4,avd-test-Spine4,Ethernet2,
avd-test-Leaf1B,Ethernet5,avd-test-Leaf1A,Ethernet5,MLAG_Peer_Link
avd-test-Leaf1B,Ethernet6,avd-test-Leaf1A,Ethernet6,MLAG_Peer_Link
avd-test-Leaf2A,Ethernet1,avd-test-Spine1,Ethernet3,
avd-test-Leaf2A,Ethernet2,avd-test-Spine2,Ethernet3,
avd-test-Leaf2A,Ethernet3,avd-test-Spine3,Ethernet3,
avd-test-Leaf2A,Ethernet4,avd-test-Spine4,Ethernet3,
avd-test-Leaf2A,Ethernet5,avd-test-Leaf2B,Ethernet5,MLAG_Peer_Link
avd-test-Leaf2A,Ethernet6,avd-test-Leaf2B,Ethernet6,MLAG_Peer_Link
avd-test-Leaf2B,Ethernet1,avd-test-Spine1,Ethernet4,
avd-test-Leaf2B,Ethernet2,avd-test-Spine2,Ethernet4,
avd-test-Leaf2B,Ethernet3,avd-test-Spine3,Ethernet4,
avd-test-Leaf2B,Ethernet4,avd-test-Spine4,Ethernet4,
avd-test-Leaf2B,Ethernet5,avd-test-Leaf2A,Ethernet5,MLAG_Peer_Link
avd-test-Leaf2B,Ethernet6,avd-test-Leaf2A,Ethernet6,MLAG_Peer_Link