tenant_name,vlan_number,vlan_name,filter_tags,ip_vrf,ip_virtual_address_and_mask,mtu,igmp_snooping_enabled
redmonds,1,Default_VLAN,l3leaf,default,,,
redmonds,100,Prod_Vlan_100,l3leaf,default,,,
redmonds,101,Prod_Vlan_101,l3leaf,default,,,
redmonds,200,DR_Vlan_200,l3leaf,default,,,
redmonds,201,DR_Vlan_201,l3leaf,default,,,
redmonds,300,NonProd_Vlan300,l3leaf,default,,,
redmonds,301,NonProd_Vlan301,l3leaf,default,,,
redmonds,400,PDMZ_Vlan_400,l3leaf,default,,,
redmonds,401,PDMZ_Vlan_401,l3leaf,default,,,
redmonds,500,NPDMZ_Vlan_500,l3leaf,default,,,
redmonds,501,NPDMZ_Vlan_501,l3leaf,default,,,
redmonds,601,ESXI/CVM,l3leaf,prod,10.1.96.1/25,,
redmonds,603,Replication,l3leaf,prod,10.1.96.193/26,,
redmonds,199,Prod_Servers,l3leaf,prod,10.1.0.1/24,,
redmonds,602,Vmotion,l3leaf,nonprod,10.3.96.129/26,,
redmonds,399,NonProd_Servers,l3leaf,nonprod,10.3.0.1/24,,
redmonds,499,DMZ_Prod_VLAN,l3leaf,pdmz,10.4.0.1/24,,
redmonds,3300,DMZ_Non_Prod_VLAN,l3leaf,npdmz,10.5.0.1/24,,